City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
249,khorramshahr,30.4397,48.1664,89.56,33,0,4.61,IR,1686624716
250,arraial do cabo,-22.9661,-42.0278,71.26,91,2,7.23,BR,1686624716
251,alofi,-19.0595,-169.9187,73.29,94,100,13.8,NU,1686624716
252,tautira,-17.7333,-149.15,80.67,68,24,17.11,PF,1686624716
253,saint-joseph,-21.3667,55.6167,71.47,75,5,2.75,RE,1686624716
254,kruisfontein,-34.0033,24.7314,53.89,69,87,7.9,ZA,1686624716
255,hasaki,35.7333,140.8333,81.28,85,99,12.15,JP,1686624716
256,ambon,-3.6954,128.1814,82.54,82,40,5.75,ID,1686624665
257,benghazi,32.1167,20.0667,70.36,85,0,6.17,LY,1686624717
258,jablanica,43.6603,17.7617,62.67,97,10,5.73,BA,1686624717
259,berbera,10.4396,45.0143,90.41,49,94,17.94,SO,1686624717
260,port moresby,-9.4431,147.1797,85.42,70,40,11.5,PG,1686624717
261,hualmay,-11.0964,-77.6139,68.04,80,34,13.98,PE,1686624717
262,dikson,73.5069,80.5464,30.13,88,35,13.24,RU,1686624717
263,bud,39.447,-86.1758,58.84,81,3,6.08,US,1686624717
264,riyadh,24.6877,46.7219,87.94,18,7,7.74,SA,1686624601
265,lorengau,-2.0226,147.2712,85.46,74,62,10.56,PG,1686624717
266,urengoy,65.9667,78.3667,42.35,47,95,19.73,RU,1686624717
267,oum hadjer,13.2954,19.6966,81.7,65,100,13.38,TD,1686624717
268,provideniya,64.3833,-173.3,37.51,100,75,13.42,RU,1686624717
269,vao,-22.6667,167.4833,69.94,61,11,9.95,NC,1686624717
270,kirakira,-10.4544,161.9205,84.29,76,23,7.34,SB,1686624718
271,longforgan,56.4567,-3.1191,58.01,92,40,8.05,GB,1686624718
272,nikolayevka,53.1257,47.2041,51.19,68,100,16.46,RU,1686624718
273,lamu,-2.2717,40.902,75.42,78,14,13.38,KE,1686624718
274,ewo,-0.8725,14.8206,72.86,90,90,3.87,CG,1686624718
275,san cristobal,7.7669,-72.225,73.58,96,97,2.95,VE,1686624718
276,faya,18.3851,42.4509,66.72,45,90,5.37,SA,1686624718
277,kaseda,31.4167,130.3167,76.51,83,100,2.1,JP,1686624718
278,itarema,-2.9248,-39.9167,76.14,88,6,9.69,BR,1686624718
279,baijiantan,45.6333,85.1833,80.38,20,22,8.03,CN,1686624718
280,mujiayingzi,42.1167,118.7833,72.75,40,34,12.97,CN,1686624719
281,port hedland,-20.3167,118.5667,77.05,20,10,20.71,AU,1686624454
282,fairbanks,64.8378,-147.7164,62.94,44,100,17.27,US,1686624641
283,luchenza,-16.0069,35.3095,61.32,61,0,5.93,MW,1686624719
284,sovetskaya gavan,48.9723,140.2878,50.25,95,100,3.51,RU,1686624719
285,kasama,-10.2129,31.1808,55.36,78,13,1.95,ZM,1686624719
286,mudgee,-32.5943,149.5871,61.79,54,20,9.93,AU,1686624719
287,tasiilaq,65.6145,-37.6368,37.56,96,100,0.76,GL,1686624719
288,zhezkazgan,47.8043,67.7144,73.38,27,0,13.42,KZ,1686624719
289,marinette,45.1,-87.6307,57.25,71,100,5.75,US,1686624719
290,saquisili,-0.8333,-78.6667,50.52,91,40,10.36,EC,1686624720
291,beloha,-25.1667,45.05,61.2,96,14,7.61,MG,1686624720
292,portland,45.5234,-122.6762,87.84,45,20,11.5,US,1686624422
293,necochea,-38.5473,-58.7368,47.1,77,99,8.14,AR,1686624720
294,umm lajj,25.0213,37.2685,82.78,47,0,5.99,SA,1686624720
295,ihosy,-22.4,46.1167,55.08,67,0,3.06,MG,1686624720
296,severo-kurilsk,50.6789,156.125,48.34,88,100,0.94,RU,1686624720
297,moses lake,47.1301,-119.2781,92.08,25,0,8.05,US,1686624720
298,paignton,50.4357,-3.5679,60.15,91,20,3.0,GB,1686624720
299,preobrazheniye,42.9019,133.9064,60.19,89,100,4.59,RU,1686624720
